compound,theoretical_mz,best_observed_mz,best_intensity,best_sn_ratio,best_tolerance,scans_found,avg_mz_difference,tolerance_0_01_matches,tolerance_0_02_matches,mass_type,molecular_formula
PBG [M+Na]+,254.115699,254.1294,1632.0,23.0,0.02,83,0.008945048192777473,50,33,sodium_adduct,C14H17NO2
Palmitic acid [M+H]+,257.24805529743,257.2314,12713.0,126.2,0.02,109,0.015179776470575822,11,98,protonated,C16H32O2
Palmitic acid - H2O [M+H]+,257.24805529743,257.2314,12713.0,126.2,0.02,109,0.015179776470575822,11,98,protonated,C16H32O2
Diphenylphosphine selenide (74Se),260.99013841484,261.0063,401.0,9.5,0.02,7,0.01681872801716671,0,7,protonated,C12H11P74Se
Diphenylphosphine selenide (76Se),262.98687561484,262.9705,130.0,3.2,0.02,1,0.016375614840001163,0,1,protonated,C12H11P76Se
Diphenylphosphine selenide (78Se),264.98497111484,264.9675,1007.0,17.2,0.02,21,0.014330477788570576,5,16,protonated,C12H11P78Se
Diphenylphosphine selenide (80Se),266.98418331484,266.9743,717.0,10.8,0.01,22,0.006771205396352736,17,5,protonated,C12H11P80Se
Diphenylphosphine selenide (82Se),268.98436141483995,269.0024,485.0,8.5,0.02,16,0.012867323145005827,4,12,protonated,C12H11P82Se
Palmitic acid [M+Na]+,279.23,279.2205,423404.0,3497.6,0.01,276,0.011731095406377361,132,151,sodium_adduct,C16H32O2
Linoleic acid [M+H]+,283.26370536157,283.2522,3687235.0,31348.9,0.02,343,0.013016148741985754,0,343,protonated,C18H34O2
Oleic acid - H2O [M+H]+,283.26370536157,283.2522,3687235.0,31348.9,0.02,343,0.013016148741985754,0,343,protonated,C18H34O2
Linoleic acid - H2O [M+H]+,283.26370536157,283.2522,3687235.0,31348.9,0.02,343,0.013016148741985754,0,343,protonated,C18H34O2
Palmitoleic acid [M+H]+,283.26370536157,283.2522,3687235.0,31348.9,0.02,343,0.013016148741985754,0,343,protonated,C18H34O2
Stearic acid - H2O [M+H]+,285.27935542571,285.2664,24037.0,594.7,0.02,61,0.013358526506375838,4,57,protonated,C18H36O2
Stearic acid [M+H]+,285.27935542571,285.2664,24037.0,594.7,0.02,61,0.013358526506375838,4,57,protonated,C18H36O2
Oleic acid [M+Na]+,305.24565,305.2347,12938.0,89.4,0.02,231,0.012267441860474008,64,194,sodium_adduct,C18H34O2
Linoleic acid [M+Na]+,305.24565,305.2347,12938.0,89.4,0.02,231,0.012267441860474008,64,194,sodium_adduct,C18H34O2
Stearic acid [M+Na]+,307.2613,307.25,10147.0,70.1,0.02,284,0.013189032258070336,14,296,sodium_adduct,C18H36O2
Lead acetate [M+H]+,327.01108700000003,326.9951,11571.0,225.3,0.02,309,0.015757873786439475,0,309,protonated,PbC4H6O4
TOP [M+H]+,371.38066329764,371.3662,110713.0,544.5,0.02,160,0.015332466537511991,2,158,protonated,C24H51P
TOPO [M+H]+,387.3755779172,387.361,5897564.0,39089.4,0.02,357,0.015275956415702818,0,357,protonated,C24H51OP
Trioctylphosphine selenide (74Se),445.30313969764,445.2859,178991.0,603.1,0.02,213,0.014477988774078514,39,177,protonated,C24H51P74Se
Trioctylphosphine selenide (76Se),447.29987689764,447.2826,1938391.0,15327.1,0.02,227,0.01566074348880474,20,207,protonated,C24H51P76Se
Trioctylphosphine selenide (77Se),448.30057729764,448.2836,2141446.0,16954.0,0.02,185,0.0170348403682372,0,185,protonated,C24H51P77Se
Trioctylphosphine selenide (78Se),449.29797239764,449.2814,5270757.0,17923.0,0.02,228,0.016355699053121703,5,224,protonated,C24H51P78Se
TOPSe [M+H]+,451.29718459764,451.2806,9602101.0,75986.3,0.02,268,0.016156889230198902,15,254,protonated,C24H51PSe
Trioctylphosphine selenide (80Se),451.29718459764,451.2806,9602101.0,75986.3,0.02,268,0.016156889230198902,15,254,protonated,C24H51P80Se
Trioctylphosphine selenide (82Se),453.29736269764,453.2811,2114662.0,16728.6,0.02,227,0.015830532084389098,9,218,protonated,C24H51P82Se
Lead linoleate [M+H]+,767.44928759865,767.431,3298.0,22.7,0.02,8,0.017937598650007658,0,8,protonated,PbC36H62O4
Lead linoleate,767.44928759865,767.431,3298.0,22.7,0.02,8,0.017937598650007658,0,8,protonated,PbC36H62O4
